,from_country,year
15736,Austria,2000
15760,Belgium,2000
15784,Croatia,2000
15808,Cyprus,2000
15833,Denmark,2000
15856,Estonia,2000
15880,Finland,2000
15904,France,2000
15928,Germany,2000
15952,Iceland,2000
15976,Ireland,2000
16000,Israel,2000
16024,Latvia,2000
16048,Malta,2000
16072,Netherlands,2000
16096,North Macedonia,2000
16120,Norway,2000
16144,Romania,2000
16168,Russia,2000
16192,Spain,2000
16216,Sweden,2000
16240,Switzerland,2000
16264,Türkiye,2000
16288,United Kingdom,2000
16312,Bosnia and Herz.,2001
16335,Croatia,2001
16358,Denmark,2001
16382,Estonia,2001
16404,France,2001
16427,Germany,2001
16450,Greece,2001
16473,Iceland,2001
16496,Ireland,2001
16519,Israel,2001
16542,Latvia,2001
16565,Lithuania,2001
16588,Malta,2001
16611,Netherlands,2001
16634,Norway,2001
16657,Poland,2001
16680,Portugal,2001
16703,Russia,2001
16726,Slovenia,2001
16749,Spain,2001
16772,Sweden,2001
16795,Türkiye,2001
16818,United Kingdom,2001
16841,Austria,2002
16865,Belgium,2002
16889,Bosnia and Herz.,2002
16913,Croatia,2002
16937,Cyprus,2002
16961,Denmark,2002
16985,Estonia,2002
17009,Finland,2002
17033,France,2002
17057,Germany,2002
17081,Greece,2002
17105,Israel,2002
17130,Latvia,2002
17153,Lithuania,2002
17177,Malta,2002
17201,North Macedonia,2002
17225,Romania,2002
17249,Russia,2002
17273,Slovenia,2002
17297,Spain,2002
17321,Sweden,2002
17345,Switzerland,2002
17369,Türkiye,2002
17393,United Kingdom,2002
17417,Austria,2003
17443,Belgium,2003
17469,Bosnia and Herz.,2003
17495,Croatia,2003
17521,Cyprus,2003
17547,Estonia,2003
17573,France,2003
17599,Germany,2003
17625,Greece,2003
17651,Iceland,2003
17677,Ireland,2003
17703,Israel,2003
17729,Latvia,2003
17755,Malta,2003
17781,Netherlands,2003
17807,Norway,2003
17833,Poland,2003
17859,Portugal,2003
17885,Romania,2003
17911,Russia,2003
17937,Slovenia,2003
17963,Spain,2003
17989,Sweden,2003
18016,Türkiye,2003
18041,Ukraine,2003
18067,United Kingdom,2003
18093,Albania,2004
18117,Andorra,2004
18141,Austria,2004
18165,Belarus,2004
18189,Belgium,2004
18213,Bosnia and Herz.,2004
18237,Croatia,2004
18261,Cyprus,2004
18285,Denmark,2004
18309,Estonia,2004
18333,Finland,2004
18357,France,2004
18381,Germany,2004
18405,Greece,2004
18429,Iceland,2004
18453,Ireland,2004
18477,Israel,2004
18501,Latvia,2004
18525,Lithuania,2004
18549,Malta,2004
18573,Monaco,2004
18597,Netherlands,2004
18621,North Macedonia,2004
18645,Norway,2004
18669,Poland,2004
18693,Portugal,2004
18717,Romania,2004
18741,Russia,2004
18765,Serbia,2004
18789,Slovenia,2004
18813,Spain,2004
18837,Sweden,2004
18861,Switzerland,2004
18885,Türkiye,2004
18910,Ukraine,2004
18933,United Kingdom,2004
19683,Albania,2005
19707,Andorra,2005
19731,Austria,2005
19755,Belarus,2005
19779,Belgium,2005
19803,Bosnia and Herz.,2005
19827,Bulgaria,2005
19851,Croatia,2005
19875,Cyprus,2005
19899,Denmark,2005
19923,Estonia,2005
19947,Finland,2005
19971,France,2005
19995,Germany,2005
20020,Greece,2005
20043,Hungary,2005
20067,Iceland,2005
20091,Ireland,2005
20115,Israel,2005
20139,Latvia,2005
20163,Lithuania,2005
20187,Malta,2005
20211,Moldova,2005
20235,Monaco,2005
20259,Netherlands,2005
20283,North Macedonia,2005
20307,Norway,2005
20331,Poland,2005
20355,Portugal,2005
20379,Romania,2005
20403,Russia,2005
20427,Serbia,2005
20451,Slovenia,2005
20475,Spain,2005
20499,Sweden,2005
20523,Switzerland,2005
20547,Türkiye,2005
20571,Ukraine,2005
20595,United Kingdom,2005
21594,Albania,2006
21618,Andorra,2006
21642,Armenia,2006
21666,Belarus,2006
21690,Belgium,2006
21714,Bosnia and Herz.,2006
21738,Bulgaria,2006
21762,Croatia,2006
21786,Cyprus,2006
21810,Denmark,2006
21834,Estonia,2006
21859,Finland,2006
21882,France,2006
21906,Germany,2006
21930,Greece,2006
21954,Iceland,2006
21978,Ireland,2006
22002,Israel,2006
22026,Latvia,2006
22050,Lithuania,2006
22074,Malta,2006
22098,Moldova,2006
22122,Monaco,2006
22146,Netherlands,2006
22170,North Macedonia,2006
22194,Norway,2006
22218,Poland,2006
22242,Portugal,2006
22266,Romania,2006
22290,Russia,2006
22314,Serbia,2006
22338,Slovenia,2006
22362,Spain,2006
22386,Sweden,2006
22410,Switzerland,2006
22434,Türkiye,2006
22458,Ukraine,2006
22482,United Kingdom,2006
23380,Albania,2007
23404,Andorra,2007
23428,Armenia,2007
23452,Austria,2007
23476,Belarus,2007
23500,Belgium,2007
23524,Bosnia and Herz.,2007
23548,Bulgaria,2007
23572,Croatia,2007
23596,Cyprus,2007
23620,Czech Republic,2007
23644,Denmark,2007
23668,Estonia,2007
23692,Finland,2007
23716,France,2007
23740,Georgia,2007
23764,Germany,2007
23788,Greece,2007
23812,Hungary,2007
23836,Iceland,2007
23860,Ireland,2007
23884,Israel,2007
23908,Latvia,2007
23932,Lithuania,2007
23956,Malta,2007
23980,Moldova,2007
24004,Montenegro,2007
24028,Netherlands,2007
24052,North Macedonia,2007
24076,Norway,2007
24100,Poland,2007
24124,Portugal,2007
24148,Romania,2007
24172,Russia,2007
24197,Serbia,2007
24220,Slovenia,2007
24244,Spain,2007
24268,Sweden,2007
24292,Switzerland,2007
24316,Türkiye,2007
24340,Ukraine,2007
24364,United Kingdom,2007
25564,Albania,2008
25589,Andorra,2008
25614,Armenia,2008
25639,Azerbaijan,2008
25664,Belarus,2008
25689,Belgium,2008
25714,Bosnia and Herz.,2008
25739,Bulgaria,2008
25764,Croatia,2008
25789,Cyprus,2008
25814,Czech Republic,2008
25839,Denmark,2008
25864,Estonia,2008
25889,Finland,2008
25914,France,2008
25939,Georgia,2008
25964,Germany,2008
25989,Greece,2008
26014,Hungary,2008
26039,Iceland,2008
26064,Ireland,2008
26089,Israel,2008
26114,Latvia,2008
26139,Lithuania,2008
26164,Malta,2008
26189,Moldova,2008
26214,Montenegro,2008
26239,Netherlands,2008
26264,North Macedonia,2008
26289,Norway,2008
26314,Poland,2008
26339,Portugal,2008
26364,Romania,2008
26390,Russia,2008
26414,San Marino,2008
26439,Serbia,2008
26464,Slovenia,2008
26489,Spain,2008
26514,Sweden,2008
26539,Switzerland,2008
26564,Türkiye,2008
26589,Ukraine,2008
26614,United Kingdom,2008
27456,Albania,2009
27481,Andorra,2009
27506,Armenia,2009
27531,Azerbaijan,2009
27556,Belarus,2009
27581,Belgium,2009
27606,Bosnia and Herz.,2009
27631,Bulgaria,2009
27656,Croatia,2009
27681,Cyprus,2009
27706,Czech Republic,2009
27731,Denmark,2009
27756,Estonia,2009
27781,Finland,2009
27806,France,2009
27831,Germany,2009
27856,Greece,2009
27881,Hungary,2009
27906,Iceland,2009
27931,Ireland,2009
27956,Israel,2009
27981,Latvia,2009
28006,Lithuania,2009
28031,Malta,2009
28056,Moldova,2009
28081,Montenegro,2009
28106,Netherlands,2009
28131,North Macedonia,2009
28157,Norway,2009
28181,Poland,2009
28206,Portugal,2009
28231,Romania,2009
28256,Russia,2009
28281,Serbia,2009
28306,Slovakia,2009
28331,Slovenia,2009
28356,Spain,2009
28381,Sweden,2009
28406,Switzerland,2009
28431,Türkiye,2009
28456,Ukraine,2009
28481,United Kingdom,2009
29284,Albania,2010
29309,Armenia,2010
29334,Azerbaijan,2010
29359,Belarus,2010
29384,Belgium,2010
29409,Bosnia and Herz.,2010
29434,Bulgaria,2010
29459,Croatia,2010
29484,Cyprus,2010
29509,Denmark,2010
29534,Estonia,2010
29559,Finland,2010
29584,France,2010
29609,Georgia,2010
29635,Germany,2010
29659,Greece,2010
29684,Iceland,2010
29709,Ireland,2010
29734,Israel,2010
29759,Latvia,2010
29784,Lithuania,2010
29809,Malta,2010
29834,Moldova,2010
29859,Netherlands,2010
29884,North Macedonia,2010
29909,Norway,2010
29934,Poland,2010
29959,Portugal,2010
29984,Romania,2010
30009,Russia,2010
30034,Serbia,2010
30059,Slovakia,2010
30084,Slovenia,2010
30109,Spain,2010
30134,Sweden,2010
30159,Switzerland,2010
30184,Türkiye,2010
30209,Ukraine,2010
30234,United Kingdom,2010
30922,Albania,2011
30947,Armenia,2011
30972,Austria,2011
30998,Azerbaijan,2011
31022,Belarus,2011
31047,Belgium,2011
31072,Bosnia and Herz.,2011
31097,Bulgaria,2011
31122,Croatia,2011
